name,id,from,to,text
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,1,0.025,5.172,[SOUND] This lecture is about 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,2,5.172,12.786,the feedback in the vector space model. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,3,12.786,18.04,_In this lecture, we continue talking about the feedback and text retrieval. _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,4,18.04,21.21,Particularly we're going to talk about feedback in the vector space model. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,5,23.93,29.73,As we have discussed before in the case of feedback the task of 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,6,29.73,34.91,a text retrieval system is relearned from examples to improve retrieval accuracy. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,7,34.91,37.62,_We will have positive examples, _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,8,37.62,40.46,those are the documents that are assumed that will be random or 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,9,40.46,45.16,judged with being random and all the documents that are viewed by users. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,10,45.16,48.79,_We also have negative examples, those are documents known to be non-relevant. _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,11,48.79,52.97,They can also be the documents that are escaped by users. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,12,55.35,58.804,The general method in the vector space model for 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,13,58.804,62.69,feedback is to modify our query vector. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,14,63.93,68.39,Now we want to place the query vector in a better position to make that accurate 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,15,70.12,71.52,and what does that mean exactly? 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,16,71.52,74.93,_Well, if you think about the query vector that would mean you would have to do _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,17,74.93,77.26,something to vector elements. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,18,77.26,81.224,And in general that would mean we might add new terms. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,19,81.224,87.129,We might adjust weights of old terms or assign weights to new terms. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,20,88.49,92.77000000000001,And as a result in general the query will have more terms so 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,21,92.77000000000001,95.13,we often call this query expansion. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,22,97.96000000000001,101.78,The most effective method in the vector space model of feedback is called Rocchio 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,23,101.78,104.9,feedback which was actually proposed several decades ago. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,24,107.49000000000001,113.06,_So, the idea is quite simple we illustrate this idea by using a two-dimensional _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,25,113.06,118.36,display of all the documents in the collection and also the query vector. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,26,118.36,123.3,_So, now we can see the query vector is here in _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,27,123.3,127.85,the center and these are all of the documents. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,28,127.85,129.69,So when we use a query vector and 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,29,129.69,133.1,use a similarity function to find the most similar documents. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,30,133.1,134.805,We are basically drawing a circle here and 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,31,134.805,138.96,then these documents would be basically the top-ranked documents. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,32,138.96,143.0,_And this process of relevant documents, right? _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,33,143.0,147.09,_And these are random documents for example that's relevant, etc. _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,34,147.09,152.36,And then these minuses are negative documents like this. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,35,154.31,157.16,So our goal here is trying 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,36,157.16,162.78,to move this query vector to some position to improve the retrieval accuracy. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,37,162.78,168.73,By looking at this diagram what do you think where 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,38,168.73,173.92000000000002,should we move the query vector so that we can improve the retrieval accuracy. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,39,173.92000000000002,177.03,_Intuitively, where do you want to move the query back to? _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,40,178.18,181.32,If you want to think more you can pause the video. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,41,183.01,184.55,Now if you think about 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,42,185.58,190.94,this picture you can realize that in order to work well in this case 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,43,190.94,195.53,you want the query vector to be as close to the positive vectors as possible. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,44,195.53,200.63,_That means, ideally you want to place the query vector somewhere here or _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,45,200.63,204.64,we want to move the query vector closer to this point. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,46,206.5,209.559,_Now, so what exactly at this point? _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,47,209.559,215.72,_Well, if you want these relevant documents to be ranked on the top _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,48,215.72,221.34,_you want this to be in the center of all of these relevant documents, right? _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,49,221.34,224.72,Because then if you draw a circle around this one 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,50,224.72,227.23,you get all these relevant documents. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,51,227.23,232.25,So that means we can move the query back toward the centroid of 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,52,232.25,234.64,all the relevant document vectors. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,53,235.67000000000002,237.79,_And this is basically the idea of Rocchio, _
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,54,239.2,242.62,of course you then can see that the centroid of negative documents. 
4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).srt,55,242.62,246.98,And one move away from the negative documents. 
