name,id,from,to,text
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,1,0.0,5.086,[SOUND]. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,2,9.253,12.16,So let's take a look at this in detail. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,3,12.16,13.935,So in this random surfing model. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,4,13.935,22.565,And any page would assume random surfer would choose the next page to visit. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,5,22.565,25.215,So this is a small graph here. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,6,25.215,29.64,_That's, of course an oversimplification of the complicate it well. _
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,7,29.64,31.86,But let's say there are four documents here. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,8,33.09,34.28,_Right, D1, D2, D3 and D4. _
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,9,34.28,40.31,And let's assume that a random surfer or random walker can be any of these pages. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,10,41.77,49.72,And then the random surfer could decide to just randomly jump into any page. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,11,50.98,55.33,Or follow a link and then visit the next page. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,12,56.44,59.52,So if the random server is at d1. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,13,61.1,66.28,_Then, you know, with some probability that random surfer will follow the links. _
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,14,66.28,68.09,Now there two outlinks here. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,15,68.09,69.7,One is pointing to this D3. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,16,69.7,72.75,The other is pointing to D4. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,17,72.75,77.56,So the random surfer could pick any of these two to reach e3 and d4. 
5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).srt,18,77.56,85.8,_But it also assumes that the random surfer might, get bored sometimes. _
