name,id,from,to,text
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,1,0.012,3.386,[SOUND]. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,2,7.805,11.866,This lecture is about the vector space retrieval model. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,3,11.866,14.986,We're going to give an introduction to its basic idea. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,4,18.986,23.771,In the last lecture we talked about the different ways of designing 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,5,23.771,28.99,a retrieval model which would give us a different the ranking function. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,6,30.26,33.55,_In this lecture, we're going to talk about the, the specific way of _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,7,33.55,36.55,design the ramping function called a vector space mutual model. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,8,37.75,41.5,And we're going to give a brief introduction to the basic idea. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,9,44.33,47.32,Vector space model is a special case of 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,10,47.32,50.81,similarity based models as we discussed before. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,11,50.81,55.156,_Which means, we assume relevance is roughly _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,12,55.156,59.45,similarity between a document and a query. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,13,62.13,66.28,_Now whether this assumption is true, is actually a question. _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,14,66.28,70.39,But in order to solve our search problem we have to 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,15,70.39,75.6,convert the vague notion of relevance into a more precise 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,16,75.6,81.67,definition that can be implemented with the programming language. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,17,81.67,86.43,So in this process we have to make a number of assumptions. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,18,86.43,91.51,This is the first assumption that we make here. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,19,91.51,94.78,Basically we assume that if a document is more 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,20,94.78,97.67,_similar to a query than another document, _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,21,97.67,101.14,then the first document would be assumed to be more relevant than the second one. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,22,101.14,105.31,And this is the basis for ranking documents in this approach. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,23,106.8,112.053,_Again, it's questionable whether this is really the best definition for relevance. _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,24,112.053,115.28,As we will see later there are other ways to model relevance. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,25,115.28,123.07,The first idea of vector space retrieval model is actually very easy to understand. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,26,123.07,130.3,_Imagine a high dimensional space, where each dimension corresponds to a term. _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,27,131.65,136.34,_So, here, I show a three dimensional space with three words, _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,28,136.34,139.27,_programming, library, and presidential. _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,29,141.12,143.26,_So each term, here, defines one dimension. _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,30,144.36,149.2,Now we can consider vectors in this three dimensional space. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,31,149.2,152.3,And we're going to assume all our documents and 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,32,152.3,155.16,the query will be placed in this vector space. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,33,155.16,162.84,_So, for example, one document that might be represented at by this vector, d1. _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,34,164.25,170.36,Now this means this document probably covers library and presidential. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,35,170.36,172.77,But it doesn't really talk about programming. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,36,174.69,180.27,_All right, what does this mean in terms of presentation of document? _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,37,180.27,181.53,_That just means, _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,38,181.53,185.68,we're going to look at our document from the perspective of this vector. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,39,185.68,187.91,We're going to ignore everything else. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,40,187.91,192.92,Basically what we see here is only the vector of the document. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,41,194.47,196.39,Of course the document has other information. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,42,196.39,199.264,_For example, the orders of words are simply ignored and _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,43,199.264,202.57999999999998,that's because we're assume that the words. 
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,44,204.95,208.43,_So with this representation you have already seen, d1, _
2 - 5 - 1.5 Vector Space Model- Basic Idea (00-09-44).srt,45,208.43,211.92000000000002,seems to suggest a topic in either presidential library. 
