name,id,from,to,text
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,1,0.008,10.008,[SOUND]. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,2,11.025,16.226,_In this lecture, we're going to talk about how to instantiate a vector space model, _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,3,16.226,19.509,so that we can get a very specific ranking function. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,4,23.08,27.74,_So this is the, to continue the discussion of the vector space model. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,5,27.74,32.8,Which is one particular approach to design ranking function. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,6,34.44,38.547,And we are going to talk about how we use the general framework of 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,7,38.547,40.37,the the vector space model. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,8,40.37,48.27,As a guidance to instantiate the framework to derive a specific ranking function. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,9,48.27,53.36,And we're going to cover the simplest instantiation of the framework. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,10,55.36,58.39,So as we discussed in the previous lecture. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,11,58.39,60.59,The vector space model is really a framework. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,12,60.59,62.39,_It isn't, didn't say. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,13,65.46,71.03999999999999,_As we discussed in the previous lecture, vector space model is really a framework. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,14,71.03999999999999,73.16,_It doesn't, say many things. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,15,74.7,77.8,So for example here it shows that it did not say 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,16,77.8,79.47,how we should define the dimension. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,17,80.77,85.939,It also did not say how we place a documented vector in this space. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,18,87.13,91.22,It did not say how we place a query vector in this vector space. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,19,92.5,96.45,_And finally, it did not say how we should match a similarity _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,20,96.45,99.02000000000001,between the query vector and the document vector. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,21,100.58,104.87,_So, you can imagine, in order to implement this model. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,22,106.03999999999999,112.94,_We have to see specifically, how we are computing these vectors. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,23,112.94,116.7,What is exactly xi and what is exactly yi? 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,24,118.46000000000001,122.26,This will determine where we place the document vector. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,25,122.26,124.56,Where we place a query vector. 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,26,124.56,128.869,_And of course, we also need to say exactly what will be the similarity function. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,27,131.12,135.449,So if we can provide a definition of the concepts that would 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,28,135.449,138.976,_define the dimensions and these xi's, or yi's. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,29,138.976,142.94,_And then, the waits of terms for query and document. _
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,30,144.81,148.683,Then we will be able to place document vectors and 
2 - 6 - 1.6 Vector Space Model- Simplest Instantiation (00-17-30).srt,31,148.683,153.07999999999998,query vector in this well defined space. 
